lat,lon,lookup_elevation_m
31.961,-91.2,20.12
31.962,-97.414,170.87
31.963,-98.503,371.32
31.964,-96.689,138.54
31.967,-96.742,139.52
31.968,-83.912,82.52
31.975,-96.724,140.53
31.976,-98.032,305.31
31.979,-89.896,88.26
31.982,-98.491,370.13
31.988,-85.114,61.93
31.988,-81.185,1.23
31.99,-97.373,168.29
31.991,-98.456,370.56
32.006,-97.452,168.54
32.009,-97.395,184.05
32.022,-80.852,1.22
32.028,-91.05,55.34
32.032,-88.71,69.69
32.043,-94.431,82.81
32.045,-94.475,90.15
32.057,-87.249,24.42
32.064,-97.494,164.09
32.084,-92.907,39.59
32.085,-82.128,55.25
32.086,-98.344,444.52
32.089,-90.809,73.16
32.09,-85.043,63.46
32.091,-98.351,451.69
32.092,-82.885,60.71
32.1,-89.034,122.18
32.104,-88.704,81.29
32.116,-87.389,25.93
32.118,-98.524,390.92
32.123,-97.498,168.77
32.141,-87.274,29.68
32.164,-87.115,25.4
32.174,-97.483,168.53
32.186,-85.014,65.32
32.196,-84.134,108.41
32.205,-89.364,138.03
32.213,-98.197,384.48
32.229,-88.822,70.81
32.245,-84.911,61.76
32.246,-97.814,216.03
32.25,-92.52,68.57
32.252,-97.55,219.48
32.255,-96.667,140.76
32.268,-96.664,132.89
32.272,-94.986,140.61
32.278,-94.566,101.95
32.293,-96.691,142.04
32.306,-84.959,65.56
32.319,-89.666,170.61
32.327,-87.01,30.94
32.327,-80.696,0.14
32.331,-90.15,82.67
32.338,-86.77,39.32
32.349,-84.064,88.54
32.354,-95.994,125.26
32.36,-86.482,53.39
32.363,-87.78,39.72
32.364,-98.676,421.93
32.367,-89.562,153.8
32.371,-86.37,46.03
32.378,-97.691,214.24
32.381,-80.444,2.53
32.386,-90.04,97.87
32.399,-86.785,39.61
32.402,-89.153,133.29
32.417,-97.788,212.76
32.422,-88.528,92.03
32.426,-98.831,449.23
32.433,-97.792,210.95
32.434,-99.812,532.73
32.436,-112.827,449.34
32.443,-93.376,51.75
32.474,-97.815,213.01
32.478,-97.794,212.86
32.482,-95.281,193.3
32.483,-91.494,28.93
32.495,-88.813,106.37
32.5,-88.779,112.64
32.504,-80.297,1.26
32.505,-89.929,91.66
32.508,-86.252,50.29
32.511,-93.619,48.57
32.514,-90.324,91.17
32.515,-87.867,25.45
32.521,-88.809,106.98
32.545,-82.125,64.82
32.552,-87.877,23.22
32.554,-85.48,152.76
32.555,-87.844,24.41
32.587,-87.744,22.28
32.588,-89.779,99.58
32.59,-92.602,92.53
32.592,-85.302,179.32
32.593,-83.567,85.14
32.598,-86.991,106.53
32.603,-97.457,218.65
32.607,-97.489,220.28
32.612,-95.256,112.83
32.616,-97.061,166.93
32.618,-97.497,222.03
32.62,-95.252,103.6
32.622,-96.98,165.2
32.622,-89.743,92.78
32.631,-89.728,96.83
32.634,-87.879,44.43
32.636,-117.143,3.62
32.648,-98.872,398.18
32.651,-117.15,3
32.671,-93.307,65.25
32.676,-93.306,74.42
32.68,-94.176,83.59
32.682,-93.677,62.63
32.683,-117.002,87.13
32.688,-95.547,115.78
32.696,-90.817,27.19
32.7,-95.557,115.58
32.7,-93.513,53.93
32.71,-114.924,54.44
32.71,-89.011,140.65
32.713,-92.923,104.57
32.713,-90.793,27.07
32.714,-114.942,49.12
32.716,-114.915,58.62
32.723,-101.958,896.49
32.724,-114.453,48.37
32.725,-114.892,46.15
32.727,-93.973,51.21
32.728,-114.423,53.07
32.729,-85.095,165.57
32.73,-99.303,435.22
32.736,-79.982,0.99
32.738,-94.543,83.24
32.743,-85.109,159.55
32.754,-94.492,85.57
32.778,-85.824,153.48
32.783,-92.491,62.6
32.784,-94.515,69.44
32.785,-87.837,30.32
32.786,-117.048,180.94
32.79,-94.553,82.95
32.792,-117.103,23.79
32.792,-95.454,120.68
32.802,-94.59,78.31
32.803,-88.72,128.25
32.81,-87.807,31.9
32.815,-98.042,264.19
32.815,-89.104,125.32
32.817,-114.472,54.63
32.818,-115.68,-13.17
32.82,-100.081,536.57
32.82,-83.801,115.41
32.821,-90.811,28.25
32.829,-83.776,119.86
32.831,-93.493,59.69
32.835,-83.618,89.37
32.839,-84.815,387.7
32.841,-94.697,80.51
